"TOPOGRAPHY","ICE_BASE","Dist","model_bed"
21.7173,NA,0,NA
21.7332,NA,60.6763704096342,NA
21.7588,NA,121.279344962184,NA
21.7311,NA,181.806906475894,NA
21.7463,NA,242.263422817824,NA
21.772,NA,302.661961943082,NA
21.7425,NA,363.020422472673,NA
21.7009,NA,423.335751285621,NA
21.8303,NA,483.619366657942,NA
21.6317,NA,543.882232376355,NA
21.7797,NA,604.122322426807,NA
19.9512000000001,NA,664.336830260691,NA
19.6233999999999,NA,724.519875486053,NA
19.2553,NA,784.678264538621,NA
18.8977,NA,844.792366621704,NA
18.6098000000001,NA,904.851925850448,NA
18.4559999999999,NA,964.850059996804,NA
18.4780999999999,NA,1024.7789514919,NA
18.6683,NA,1084.62612008326,-154.734411
19.0170000000001,NA,1144.38868245467,-161.662817428571
19.4948000000001,NA,1204.06947493981,-168.591223857143
19.5382999999999,NA,1263.65711895864,-175.519630285714
19.1029,NA,1323.15934424947,-182.448036714286
18.6798,NA,1382.58889767488,-189.376443142857
18.2038,NA,1441.92554232681,-196.304849571429
17.6679,NA,1501.18177153512,-203.233256
17.096,NA,1560.34780611262,-212.759814875
16.5617999999999,NA,1619.42311592944,-222.28637375
16.1933,NA,1678.38897116224,-231.812932625
16.1238999999999,NA,1737.23044257079,-241.3394915
16.3710000000001,NA,1795.93864653934,-250.866050375
16.9168999999999,NA,1854.50446631224,-260.39260925
17.2647000000001,NA,1912.90543757268,-269.919168125
17.7288,NA,1971.17365530501,-279.445727
17.8873,NA,2029.28195948503,-287.363905857143
18.0432,NA,2087.25415845484,-295.282084714286
18.2078,NA,2145.10583767977,-303.200263571429
18.3537,NA,2202.84849752898,-311.118442428571
18.3608,NA,2260.48422898944,-319.036621285714
18.8876,NA,2318.03812836454,-326.954800142857
19.8238,NA,2375.51480126406,-334.872979
20.4204999999999,NA,2432.93434386795,-339.911820090909
20.5949000000001,NA,2490.3079859303,-344.950661181818
20.7535,NA,2547.64366927134,-349.989502272727
20.6373,NA,2604.98235076782,-355.028343363636
20.5944,NA,2662.3020531418,-360.067184454545
20.6342,NA,2719.63077904782,-365.106025545455
20.3937,NA,2776.97241244164,-370.144866636364
19.9158,NA,2834.31951680825,-375.183707727273
21.8833,NA,2891.68903077018,-380.222548818182
21.7682,NA,2949.08031722673,-385.261389909091
21.8069,NA,3006.54059785627,-390.300231
21.8226,NA,3064.07297245652,-390.914949916667
21.7885,NA,3121.71667311097,-391.529668833333
